BarChartType,ModelName,SamplingTarget,SamplingMethod,DownsamplingLevel,RunIndex,MeanDiff,VarianceDiff,TotalRows
5,ResNet50,Ratio,ADV,4,1,0.026882399499999998,0.0068730290339991,20000
5,VGG19,Ratio,OOD,16,3,-0.368147599,0.04798784769932012,20000
3,VGG19,Ratio,COV,2,3,0.0011036864999999973,0.00019156321178530832,20000
5,VGG19,Height,OOD,16,0,0.2415098645,0.05630306093859357,20000
1,ResNet50,Ratio,IID,4,4,0.008054480999999999,0.000772097740417661,20000
2,VGG19,Height,OOD,16,3,0.26013008049999997,0.05777013244461042,20000
2,VGG19,Height,OOD,4,0,0.04728613,0.024755559150810687,20000
2,VGG19,Ratio,COV,16,0,-0.0226001415,0.015275589049147454,20000
2,VGG19,Ratio,COV,16,4,-0.019395967000000004,0.020375397028376322,20000
2,VGG19,Height,OOD,4,4,-0.07830996,0.06220991616811688,20000
2,ResNet50,Height,ADV,4,2,-0.14321446100000002,0.04947377080591975,20000
3,VGG19,Height,IID,8,2,-0.14652095450000002,0.05796056399303359,20000
2,VGG19,Height,COV,8,1,0.025617658499999998,0.004592584301967439,20000
1,ResNet50,Ratio,IID,4,0,0.0075115170000000005,0.0007889007993786821,20000
5,VGG19,Height,OOD,16,4,0.327040952,0.0691681700184043,20000
1,VGG19,Ratio,ADV,2,2,0.006059248499999998,0.00019084821590104376,20000
2,ResNet50,Ratio,ADV,16,4,-0.13788565400000002,0.03559932212769865,20000
4,ResNet50,Ratio,COV,4,3,-0.0017494495000000025,0.0007316208764257673,20000
5,VGG19,Ratio,OOD,2,3,-0.05269619150000001,0.008709414260173397,20000
4,VGG19,Ratio,IID,2,1,-0.001112751000000001,0.00021722041740287006,20000
1,ResNet50,Ratio,OOD,16,0,-0.3062832905,0.05879002199862712,20000
4,VGG19,Height,IID,4,1,-0.115900175,0.048526430458022296,20000
5,VGG19,Height,COV,4,2,-0.013441263,0.005421064098619753,20000
5,ResNet50,Ratio,IID,2,1,0.0087500385,0.001078927870337043,20000
2,ResNet50,Ratio,OOD,2,2,-0.0742973205,0.016860486394535062,20000
1,ResNet50,Height,OOD,8,0,0.058397369000000005,0.04908094904577015,20000
1,ResNet50,Ratio,ADV,2,4,-0.006557750000000003,0.0009007328516300829,20000
2,VGG19,Ratio,ADV,8,4,-0.11530800249999999,0.019737406440627145,20000
5,ResNet50,Height,COV,2,2,-0.010116869500000002,0.003162121480088972,20000
3,ResNet50,Height,COV,8,3,-0.03798084749999999,0.013854142028658095,20000
1,ResNet50,Height,OOD,16,2,0.07087259299999998,0.05103648621555741,20000
5,ResNet50,Height,ADV,16,3,-0.39763323600000006,0.06305665387036158,20000
5,VGG19,Height,COV,2,4,0.010871515999999998,0.0006969511175276347,20000
2,ResNet50,Ratio,OOD,4,4,-0.355807113,0.06443293452190181,20000
4,VGG19,Ratio,ADV,2,3,-0.003453601500000002,0.0003982071771430536,20000
2,ResNet50,Ratio,COV,8,1,-0.011553794000000003,0.002351991730062056,20000
1,ResNet50,Height,COV,2,3,0.0110577535,0.0006672702281196426,20000
3,VGG19,Height,ADV,8,0,-0.06847739900000001,0.03282819182459635,20000
5,ResNet50,Height,OOD,8,1,0.234346529,0.09414923201775241,20000
2,ResNet50,Height,IID,4,0,0.001963178000000001,0.0023635398856946092,20000
3,ResNet50,Height,OOD,2,0,0.058112252,0.010592597487932866,20000
1,ResNet50,Ratio,ADV,4,2,0.10274080450000002,0.01431839894288497,20000
5,ResNet50,Height,COV,4,4,0.005562736999999998,0.004479101663822015,20000
1,VGG19,Ratio,IID,2,0,0.002738994000000001,0.00014904361496871044,20000
1,VGG19,Height,OOD,16,2,0.023069293499999997,0.048358234776814855,20000
3,VGG19,Ratio,COV,4,1,-0.0010801635000000005,0.00020420232143433955,20000
2,VGG19,Height,OOD,2,2,0.013532813999999995,0.0038075076935760953,20000
2,ResNet50,Height,ADV,2,4,-0.015465231500000001,0.0035358080098969224,20000
3,VGG19,Ratio,OOD,8,4,-0.434923463,0.0787882116732513,20000
1,VGG19,Ratio,ADV,4,4,-0.0081868275,0.0003572375698587367,20000
4,VGG19,Height,ADV,4,3,-0.055121317999999996,0.01642162760200282,20000
5,VGG19,Ratio,COV,8,0,0.005913264500000001,0.0006310846189089862,20000
5,ResNet50,Ratio,OOD,16,1,-0.38800313,0.05854628921589391,20000
5,ResNet50,Ratio,ADV,2,3,0.005265521499999997,0.0015398405048132737,20000
5,ResNet50,Ratio,OOD,16,0,-0.29993341700000004,0.05550645107647759,20000
5,ResNet50,Ratio,ADV,2,2,0.010010884999999999,0.0015367295589047195,20000
5,VGG19,Ratio,OOD,4,4,-0.30390563000000004,0.04761796094202015,20000
5,VGG19,Ratio,COV,8,1,-0.0067240295,0.0013718166763419483,20000
4,VGG19,Height,ADV,4,2,-0.185754748,0.07965876119585576,20000
