BarChartType,ModelName,SamplingTarget,SamplingMethod,DownsamplingLevel,RunIndex,TotalRows,MeanDiff,VarianceDiff,MaxDiff,MinDiff
4,VGG19,Ratio,ADV,16,0,20000,0.5392560325,0.057995887214965,0.8953,0.06376000000000004
3,VGG19,Ratio,COV,4,4,20000,0.011707885,0.00017237646454000254,0.13085000000000002,0.0
1,ResNet50,Ratio,IID,2,3,20000,0.018516721500000003,0.0003268766610594902,0.42772,0.0
2,VGG19,Ratio,IID,8,3,20000,0.015307859500000002,0.0003547980044634811,0.28862,0.0
4,ResNet50,Height,ADV,8,0,20000,0.145259158,0.029927211623852232,0.9064300000000001,9.999999999982245e-06
2,ResNet50,Height,ADV,2,1,20000,0.0536864275,0.006978117868905654,0.46509,0.0
3,VGG19,Ratio,OOD,8,1,20000,0.3206792955,0.06369841963661027,0.89525,0.0
4,VGG19,Ratio,IID,4,2,20000,0.012016633,0.0003514898205543383,0.39175000000000004,0.0
5,VGG19,Ratio,OOD,4,0,20000,0.152623974,0.03434165034342461,0.6876599999999999,0.0
5,ResNet50,Ratio,OOD,16,4,20000,0.5018338084999999,0.06941085190007516,0.8729899999999999,0.004140000000000005
4,ResNet50,Ratio,COV,2,0,20000,0.016872639000000002,0.0004906819883951004,0.71845,0.0
4,ResNet50,Ratio,COV,2,1,20000,0.019003188,0.0003616293193926232,0.26005999999999996,0.0
5,VGG19,Ratio,OOD,4,1,20000,0.21983286349999998,0.04360967027563906,0.72201,0.0
5,VGG19,Ratio,COV,8,4,20000,0.036861405,0.0021987260809300086,0.29117000000000004,0.0
4,VGG19,Ratio,IID,4,3,20000,0.015414272500000001,0.00022895376265887708,0.23665999999999998,0.0
3,VGG19,Ratio,OOD,8,0,20000,0.253782659,0.059631923384828894,0.82074,0.0
2,ResNet50,Height,ADV,2,0,20000,0.042041621999999994,0.005600840696063956,0.40642,0.0
4,ResNet50,Height,ADV,8,1,20000,0.23147898100000003,0.0601128129476089,1.11368,1.0000000000010001e-05
2,VGG19,Ratio,IID,8,2,20000,0.012845423499999998,0.0002630582164714712,0.26385000000000003,0.0
1,ResNet50,Ratio,IID,2,2,20000,0.0161686165,0.00025406306144400083,0.32889,0.0
4,VGG19,Ratio,ADV,16,1,20000,0.15733126849999998,0.02182120997293444,0.56238,1.0000000000010001e-05
1,VGG19,Height,IID,8,1,20000,0.08504474849999999,0.022453103972905362,0.61385,0.0
1,VGG19,Ratio,ADV,4,0,20000,0.14185638099999998,0.017523161234394565,0.40654,0.0
5,ResNet50,Height,COV,4,0,20000,0.026953049,0.0007475155131892586,0.23734,0.0
3,ResNet50,Height,OOD,2,4,20000,0.11824747199999999,0.011733428436221039,0.55914,0.0
2,ResNet50,Height,IID,4,4,20000,0.03683315,0.0031153200917620953,0.38347999999999993,0.0
3,VGG19,Height,ADV,8,4,20000,0.134755614,0.01566486407815701,0.53775,1.0000000000010001e-05
2,ResNet50,Height,ADV,16,3,20000,0.2780259865,0.0471179232180782,1.3139399999999999,9.999999999982245e-06
1,VGG19,Ratio,IID,2,4,20000,0.008646160500000001,5.448211160881937e-05,0.07776000000000005,0.0
3,ResNet50,Ratio,ADV,8,3,20000,0.3434357765,0.03665076010651236,0.78655,0.0
4,VGG19,Height,IID,2,3,20000,0.011693240499999999,0.00012060797831307505,0.11855000000000004,0.0
2,ResNet50,Ratio,OOD,4,0,20000,0.188259194,0.0487658656938354,0.76161,0.0
5,ResNet50,Ratio,IID,4,3,20000,0.0232642925,0.0013804579177753354,1.31866,0.0
5,VGG19,Height,COV,2,0,20000,0.015470076499999999,0.0002589156374810206,0.13722999999999996,0.0
2,ResNet50,Height,IID,2,2,20000,0.08912812900000001,0.028232893186228382,0.8206600000000001,0.0
1,ResNet50,Height,COV,4,1,20000,0.025056389,0.0005870554428128235,0.21338000000000001,0.0
1,ResNet50,Ratio,ADV,2,0,20000,0.017382024,0.0002995101827525595,0.23992999999999998,0.0
2,VGG19,Ratio,ADV,8,0,20000,0.181157701,0.022689488440276698,0.50113,0.0
4,ResNet50,Height,IID,8,3,20000,0.047886356,0.004904245328047651,0.44087,0.0
3,ResNet50,Height,OOD,4,2,20000,0.13895881249999997,0.01726602346312803,0.6353,0.0
3,ResNet50,Ratio,COV,16,2,20000,0.20484315300000003,0.017738055559036507,0.84692,1.0000000000010001e-05
1,ResNet50,Height,OOD,8,4,20000,0.204567964,0.02171859540781521,0.66639,9.99999999995449e-06
1,VGG19,Ratio,IID,4,2,20000,0.014090731499999998,0.00033496507688375257,0.2764,0.0
1,VGG19,Height,ADV,8,3,20000,0.28306773250000006,0.05146244932160968,0.9206799999999999,0.0
2,VGG19,Ratio,IID,16,1,20000,0.1563574775,0.013894873553709679,0.53009,4.0000000000040004e-05
5,VGG19,Height,OOD,8,3,20000,0.22582014549999999,0.028397958262287006,0.6413099999999999,0.0
4,VGG19,Ratio,ADV,4,1,20000,0.014469442999999999,0.00038898449939472104,0.33397000000000004,0.0
3,ResNet50,Ratio,IID,16,3,20000,0.17614879500000002,0.01685383081882897,0.62751,9.00000000000345e-05
4,ResNet50,Ratio,OOD,8,2,20000,0.32699640950000003,0.08013465025135535,0.89683,0.0
3,ResNet50,Ratio,IID,8,1,20000,0.053198572,0.00143767973839774,0.2759100000000001,9.99999999995449e-06
2,ResNet50,Ratio,ADV,16,0,20000,0.5385144885,0.05785352040349857,0.89523,0.06866000000000005
1,ResNet50,Ratio,OOD,16,4,20000,0.4955623595,0.06968676517830662,0.86963,0.003620000000000012
4,VGG19,Height,ADV,2,1,20000,0.040052093999999996,0.004449486701660268,0.40254999999999996,0.0
5,ResNet50,Ratio,ADV,4,1,20000,0.05772840249999999,0.0042629934798969855,0.46814,9.99999999995449e-06
5,VGG19,Ratio,OOD,16,3,20000,0.368147599,0.04798784769932012,0.7628199999999999,0.08404999999999999
3,VGG19,Ratio,COV,2,3,20000,0.0100106945,9.256238126173412e-05,0.18830999999999998,0.0
5,VGG19,Height,OOD,16,0,20000,0.2846943665,0.03357805702236972,0.66981,9.99999999995449e-06
1,ResNet50,Ratio,IID,4,4,20000,0.021398938,0.0003790382040923612,0.20132000000000005,0.0
2,VGG19,Height,OOD,16,3,20000,0.28576702849999996,0.04377429685604769,0.79854,2.0000000000020002e-05
2,VGG19,Height,OOD,4,0,20000,0.127304883,0.010784305442858442,0.39415999999999995,9.99999999995449e-06
2,VGG19,Ratio,COV,16,0,20000,0.08230527849999998,0.009011883390721915,0.84405,0.0
2,VGG19,Ratio,COV,16,4,20000,0.107338373,0.00922951695195042,0.47655,0.0
2,VGG19,Height,OOD,4,4,20000,0.209402263,0.024491172316604568,0.58735,9.99999999995449e-06
2,ResNet50,Height,ADV,4,2,20000,0.16067853299999998,0.04416629630468292,0.8952600000000001,0.0
3,VGG19,Height,IID,8,2,20000,0.1659138625,0.05190124136482446,0.7598400000000001,0.0
2,VGG19,Height,COV,8,1,20000,0.0380417845,0.0038016318134212242,0.36288000000000004,0.0
1,ResNet50,Ratio,IID,4,0,20000,0.021271190000000002,0.00039284035998190283,0.27025,0.0
5,VGG19,Height,OOD,16,4,20000,0.35852291799999997,0.04758419237335406,0.69678,6.999999999990347e-05
1,VGG19,Ratio,ADV,2,2,20000,0.011256467499999999,0.00010085014780383403,0.12255000000000005,0.0
2,ResNet50,Ratio,ADV,16,4,20000,0.197213749,0.015717518821906085,0.56379,9.00000000000345e-05
4,ResNet50,Ratio,COV,4,3,20000,0.018018782499999997,0.0004099888455949719,0.30596,0.0
5,VGG19,Ratio,OOD,2,3,20000,0.0601447265,0.0078688727059405,0.54283,0.0
4,VGG19,Ratio,IID,2,1,20000,0.009057780999999999,0.00013641119508579284,0.24736000000000002,0.0
1,ResNet50,Ratio,OOD,16,0,20000,0.3064243045,0.058703617329592526,0.8132999999999999,9.999999999996123e-06
4,VGG19,Height,IID,4,1,20000,0.123299692,0.04675637847315841,0.83749,0.0
5,VGG19,Height,COV,4,2,20000,0.042689969,0.0037792161040342697,0.40862999999999994,0.0
5,ResNet50,Ratio,IID,2,1,20000,0.0238912935,0.0005846724262131683,0.34302,0.0
2,ResNet50,Ratio,OOD,2,2,20000,0.0794946745,0.01606113498658348,0.5665,0.0
1,ResNet50,Height,OOD,8,0,20000,0.18432190599999998,0.018515108428388678,0.67743,9.99999999995449e-06
1,ResNet50,Ratio,ADV,2,4,20000,0.023887445000000004,0.0003731005264482978,0.22055000000000002,0.0
2,VGG19,Ratio,ADV,8,4,20000,0.13475417150000002,0.014874411994793314,0.44877,1.0000000000010001e-05
5,ResNet50,Height,COV,2,2,20000,0.035741960499999996,0.0019869260284128675,0.33231,0.0
3,ResNet50,Height,COV,8,3,20000,0.0741025125,0.009805302004662531,0.59203,0.0
1,ResNet50,Height,OOD,16,2,20000,0.19070062000000002,0.019691116917251457,0.64416,2.0000000000020002e-05
5,ResNet50,Height,ADV,16,3,20000,0.397633742,0.06305625144514994,0.92192,0.0005499999999999949
5,VGG19,Height,COV,2,4,20000,0.018424216,0.00047567817880428263,0.22016999999999998,0.0
2,ResNet50,Ratio,OOD,4,4,20000,0.35643224300000004,0.06398767007006242,0.8281700000000001,0.0
4,VGG19,Ratio,ADV,2,3,20000,0.0136384535,0.0002241184221544452,0.31761000000000006,0.0
2,ResNet50,Ratio,COV,8,1,20000,0.02871984,0.0016606181075497883,0.48879,0.0
1,ResNet50,Height,COV,2,3,20000,0.0222714695,0.00029350709874050615,0.23956,9.99999999995449e-06
3,VGG19,Height,ADV,8,0,20000,0.10514093599999999,0.02646241128641816,0.72114,9.99999999995449e-06
5,ResNet50,Height,OOD,8,1,20000,0.29939177499999997,0.05943035679068913,0.8977,0.0
2,ResNet50,Height,IID,4,0,20000,0.031931434,0.0013477266855979329,0.29319000000000006,0.0
